OID_,AREA,NODE_ID,TYPE
584,CA,DUKMOSS6_7_N002,LOAD
585,CA,DUMBARTN_1_N001,LOAD
586,CA,DUMBARTN_1_N003,LOAD
587,CA,DUMBARTN_1_N011,LOAD
588,CA,DUNBAR_6_N001,LOAD
589,CA,DUNBAR_6_N002,LOAD
590,CA,DUNHILL_6_N001,LOAD
591,CA,DUNLAP_6_N001,LOAD
592,CA,DUNNIGAN_6_N001,LOAD
593,CA,DUNNSIDE_1_N001,LOAD
594,CA,DVLCYN1G_7_B1,GEN
595,CA,DVLCYN2G_7_B1,GEN
596,CA,DVLCYN3G_7_B1,GEN
597,CA,DVLCYN4G_7_B1,GEN
598,CA,EAGLEMTN_2_N001,LOAD
599,CA,EAGLEMTN_2_N002,LOAD
600,CA,EAGLROCK_2_N001,LOAD
601,CA,EAGLROCK_2_N012,LOAD
602,CA,EASTGATE_6_N004,GEN
603,CA,EASTGATE_6_N101,LOAD
604,CA,EASTGATE_6_N201,LOAD
605,CA,EASTWOOD_7_B1,GEN
606,CA,EBMUDGRY_1_N001,LOAD
607,CA,EDENVALE_1_N001,LOAD
608,CA,EDENVALE_1_N004,LOAD
609,CA,EDENVALE_1_N006,LOAD
610,CA,EDENVALE_1_N008,LOAD
611,CA,EDES_1_N001,LOAD
612,CA,EDES_1_N003,LOAD
613,CA,EDMON1AP_7_N001,LOAD
614,CA,EDMON2AP_7_N001,LOAD
615,CA,EDMON3AP_7_N001,LOAD
616,CA,EDMON3AP_7_N002,LOAD
617,CA,EDMON4AP_7_N001,LOAD
618,CA,EDMON4AP_7_N002,LOAD
619,CA,EDMON5AP_7_N001,LOAD
620,CA,EDMON5AP_7_N002,LOAD
621,CA,EDMON6AP_7_N001,LOAD
622,CA,EDMON6AP_7_N002,LOAD
623,CA,EDMON7AP_7_N001,LOAD
624,CA,EDMON7AP_7_N002,LOAD
625,CA,EDMON8AP_7_N001,LOAD
626,CA,EDMON8AP_7_N002,LOAD
627,CA,EDMONSTN_2_N023,GEN
628,CA,EDWARDS_1_N001,LOAD
629,CA,EELRIVR_6_N001,LOAD
630,CA,EIGHTMI_2_N017,LOAD
631,CA,EISENHOW_1_N001,LOAD
632,CA,EISEN_6_N001,LOAD
633,CA,ELCAJNEG_7_GN001,GEN
634,CA,ELCAJNGT_7_B3,GEN
